execution_ms,period_ms,control loop iteration
0.049246,0.978274,548
0.050782,1.0023,549
0.102493,1.01318,550
0.090813,0.999361,551
0.05043,0.985633,552
0.049055,1.0009,553
0.046206,1.00419,554
0.108252,1.01421,555
0.097053,1.00653,556
0.052447,0.973665,557
0.047071,1.01312,558
0.108156,1.00493,559
0.110172,1.02586,560
0.051103,0.964065,561
0.048382,0.994113,562
0.099741,1.01347,563
0.081534,1.0033,564
0.050494,0.982178,565
0.049246,1.0041,566
0.099613,1.00947,567
0.097181,1.00259,568
0.095645,1.02224,569
0.050974,0.965826,570
0.04659,0.999713,571
0.100669,1.01245,572
0.108285,1.00122,573
0.052607,0.983009,574
0.050366,1.00099,575
0.108669,1.19324,576
0.097149,0.820038,577
0.095901,1.0104,578
0.048862,0.972097,579
0.048351,1.00294,580
0.098684,1.01543,581
0.089245,1.00317,582
0.049951,0.978145,583
0.049566,1.00346,584
0.105853,1.19087,585
0.099644,0.842982,586
0.094077,0.986977,587
0.050238,0.978401,588
0.048447,1.00531,589
0.105117,1.0088,590
0.100508,1.00663,591
0.051582,0.978561,592
0.047935,0.999808,593
0.090142,1.0168,594
0.089757,0.995937,595
0.049118,0.987521,596
0.044991,1.00854,597
0.101149,1.19014,598
0.104156,0.829638,599
0.104317,0.998624,600
0.049502,0.973506,601
0.049054,1.01152,602
0.109693,0.999968,603
0.107997,1.0295,604
0.045182,0.960834,605
0.04883,1.00723,606
0.103357,1.00384,607
0.098749,1.00589,608
0.049726,0.981825,609
0.047615,1.0008,610
0.10822,1.03034,611
0.106205,0.982913,612
0.1023,1.0296,613
0.052031,0.956193,614
0.048383,0.998689,615
0.106749,1.01782,616
0.109564,1.00122,617
0.05107,0.982593,618
0.050558,1.00659,619
0.106941,1.19023,620
0.095453,0.822471,621
0.100637,1.00698,622
0.047711,0.971617,623
0.049919,1.01347,624
0.107068,1.00503,625
0.100349,1.00608,626
0.046463,0.975265,627
0.048094,1.00138,628
0.102525,1.01517,629
0.095069,0.999713,630
0.052638,0.983457,631
0.050942,1.00941,632
0.11446,1.21372,633
0.100413,0.798566,634
0.101597,1.00285,635
0.050335,0.976673,636
0.045662,1.00317,637
0.099613,1.0144,638
0.088797,0.99696,639
0.049855,0.986369,640
0.050334,1.00768,641
0.111645,1.1902,642
0.103613,0.814118,643
0.105053,1.03043,644
0.054974,0.95741,645
0.048063,1.0009,646
0.10262,1.01133,647
0.106269,1.00608,648
0.049567,0.980449,649
0.050207,1.0087,650
0.108092,1.00435,651
0.107805,1.00643,652
0.050847,0.982305,653
0.050398,1.00058,654
0.111069,1.03577,655
0.088189,0.980417,656
0.105309,1.008,657
0.05267,0.974914,658
0.051263,0.998944,659
0.106813,1.01866,660
0.098941,1.01613,661
0.051294,0.966978,662
0.053823,1.00374,663
0.108669,1.21951,664
0.101373,0.800263,665
0.106172,1.01971,666
0.051134,0.954562,667
0.05235,1.00893,668
0.102077,1.00838,669
0.099836,1.00099,670
0.051742,0.982305,671
0.050174,1.00813,672
0.106716,1.21843,673
0.099581,0.788999,674
0.100701,1.00554,675
0.052479,0.979777,676
0.051134,1.00448,677
0.103645,1.01152,678
0.099165,1.00397,679
0.051391,0.979617,680
0.049502,1.00074,681
0.103517,1.01664,682
0.088573,1.01046,683
0.048222,0.971746,684
0.049407,1.00173,685
0.107453,1.19996,686
0.107996,0.813703,687
0.099517,1.00906,688
0.050335,0.976289,689
0.048574,1.0016,690
0.098589,1.00909,691
0.092061,1.02323,692
0.048767,0.966049,693
0.047198,1.00781,694
0.102045,1.02806,695
0.094685,0.979425,696
0.100061,1.00608,697
0.05027,0.978593,698
0.04931,0.999265,699
0.101661,1.01801,700
0.106333,1.00118,701
0.052254,0.980833,702
0.050238,0.999937,703
0.112573,1.18572,704
0.102076,0.84887,705
0.09878,0.988385,706
0.050142,0.975553,707
0.047167,1.00397,708
0.107548,1.02851,709
0.096253,0.987937,710
0.050142,0.979649,711
0.048671,1.00346,712
0.103869,1.18291,713
0.105501,0.834406,714
0.110556,1.01866,715
0.05187,0.962274,716
0.048894,1.00122,717
0.103325,1.01466,718
0.102268,0.999009,719
0.051198,0.985441,720
0.051391,1.0015,721
0.108541,1.20252,722
0.095837,0.811559,723
0.089789,1.0065,724
0.052191,0.976993,725
0.051678,1.00147,726
0.104093,1.01235,727
0.106269,1.0032,728
0.051519,0.983649,729
0.049406,1,730
0.124156,1.01811,731
0.105277,1,732
0.100829,1.00576,733
0.050078,0.976097,734
0.04899,0.998465,735
0.103708,1.01491,736
0.097789,1.00403,737
0.052991,0.982273,738
0.047806,1.00525,739
0.109501,1.18678,740
0.102525,0.841478,741
0.105373,1.01085,742
0.050718,0.954754,743
0.048415,1.00166,744
0.102749,1.01661,745
0.103933,1.01677,746
0.05235,0.966562,747
0.049279,1.00141,748
0.105053,1.19372,749
0.097533,0.820134,750
0.098717,1.00534,751
0.048446,0.97901,752
0.048542,1.00474,753
0.103325,1.00918,754
0.090685,1.0056,755
0.050462,0.980929,756
0.048703,1.00096,757
0.107197,1.01427,758
0.098237,0.997377,759
0.051166,0.987585,760
0.051327,1.00752,761
0.103485,1.17737,762
0.101725,0.825446,763
0.098653,1.01187,764
0.051615,0.977121,765
0.051806,1.01376,766
0.107261,0.998144,767
0.102653,1.01418,768
0.051614,0.974626,769
0.048767,0.999904,770
0.107485,1.01459,771
0.108029,1.0193,772
0.054878,0.96653,773
0.051423,1.00042,774
0.131452,1.01475,775
0.103517,1.00163,776
0.102717,1.00778,777
0.052191,0.974817,778
0.04835,0.998593,779
0.104125,1.01779,780
0.102013,1.01741,781
0.050527,0.969441,782
0.048159,0.996321,783
0.049343,1.00614,784
0.106845,1.0191,785
0.104221,1.00058,786
0.050655,0.972897,787
0.050271,1.00886,788
0.107452,1.01031,789
0.10502,1.01632,790
0.051807,0.965089,791
0.050846,1.0088,792
0.112829,1.21529,793
0.096029,0.795559,794
0.099645,1.00381,795
0.052414,0.980129,796
0.050078,1.01037,797
0.104253,1.00397,798
0.104093,1.02074,799
0.04659,0.964994,800
0.046526,0.998689,801
0.10006,1.01478,802
0.096381,0.996704,803
0.051391,0.988161,804
0.051999,1.00691,805
0.102332,1.17283,806
0.097437,0.831653,807
0.098333,1.01347,808
0.05155,0.974754,809
0.045535,1.00048,810
0.103581,1.0105,811
0.094269,1.00288,812
0.048958,0.984737,813
0.044671,1.00208,814
0.125564,1.01315,815
0.101405,1.00477,816
0.096605,1.00637,817
0.048254,0.973506,818
0.047263,0.999776,819
0.102781,1.01773,820
0.103708,1.00039,821
0.051966,0.983137,822
0.045215,0.999744,823
0.102941,1.17904,824
0.099101,0.838694,825
0.100733,1.00538,826
0.048767,0.976065,827
0.047102,1.0016,828
0.095933,1.01414,829
0.100637,1.00282,830
0.052158,0.980546,831
0.045759,1.00243,832
0.108541,1.1983,833
0.091677,0.816071,834
0.099197,1.00403,835
0.049727,0.980161,836
0.051806,1.00551,837
0.112733,1.01811,838
0.096125,0.998113,839
0.050879,0.979297,840
0.050462,1.00061,841
0.107484,1.01626,842
0.108253,1.01053,843
0.052319,0.972897,844
0.04867,1.00032,845
0.094493,1.18275,846
0.098748,0.827494,847
0.082749,1.01382,848
0.051038,0.975137,849
0.050558,1.00118,850
0.105468,1.0135,851
0.100605,1.00246,852
0.047839,0.982593,853
0.049279,1.00842,854
0.119644,1.01127,855
0.097597,0.998976,856
0.104509,1.02646,857
0.052958,0.955074,858
0.049183,0.998976,859
0.102237,1.01648,860
0.094557,1.00375,861
0.051038,0.981025,862
0.047839,0.999328,863
0.108093,1.24854,864
0.097245,0.76948,865
0.100636,1.02598,866
0.049534,0.956322,867
0.047199,1.00182,868
0.105341,1.01558,869
0.098045,1.01699,870
0.056094,0.96797,871
0.045887,1.00518,872
0.109116,1.19046,873
0.107645,0.835429,874
0.100573,0.989569,875
0.052383,0.976449,876
0.043806,1.00112,877
0.095677,1.01395,878
0.093309,1.01325,879
0.049663,0.971809,880
0.04851,1.0024,881
0.096157,1.18633,882
0.100413,0.823334,883
0.092861,1.0137,884
0.050879,0.973953,885
0.049502,1.00208,886
0.105181,1.00944,887
0.095197,1.00893,888
0.050783,0.980481,889
0.047166,1.00787,890
0.133307,1.01261,891
0.097405,0.997088,892
0.094749,1.00589,893
0.050206,0.977057,894
0.046879,0.998848,895
0.100285,1.01622,896
0.100157,1.00291,897
0.048382,0.981345,898
0.046366,0.999937,899
0.107133,1.01949,900
0.106045,0.998625,901
0.050207,0.982817,902
0.049022,0.997921,903
0.108285,1.18307,904
0.107292,0.852966,905
0.097533,0.991616,906
0.051646,0.972866,907
0.049215,1.00275,908
0.103325,1.01437,909
0.102013,1.01818,910
0.047646,0.966114,911
0.045951,1.00003,912
0.103868,1.20012,913
0.099325,0.819942,914
0.099677,0.999968,915
